MEANING	RULE	Ainu	Alaskan Yupik	Arabic	Balinese	Bezhta	Bora	Chintang	Emai	Even	Hoocąk	Icelandic	Italian	Jakarta Indonesian	Jaminjung	Japanese standard	Mandarin	Mandinka	Mapudungun	Nen	Nǀuu	Russian	Sliammon	Sri Lanka Malay	Xârâcùù	Yaqui	Yoruba	Zenzontepec Chatino
TIE	tying goal	loc/all	NP-all	ʾilâ+NP-gen	ke+NP	NP-inter	NP-abl	NA	NA	NP-loc	NA	við+NP-acc	a+NP	NA	NP-loc/-all	NA	NA	NP+bala	NA	NA	ng+NP	NA	NA	NA	ti/tö+NP	NP-dir	NA	NA
TIE	tying instrument	instr	NA	NA	aji+NP	NA	NA	NA	NA	NA	NA	með+NP-dat	NA	NA	NA	NA	NA	NP+la	NA	NA	NA	NA	NA	NA	ngê+NP	NA	fi+NP	NA
TOUCH	touchee	obj.V	NP-abs V.obj	NP-acc	Ø	NA	NP-acc	NA	NA	NP-acc	und.V	NP-acc	Ø	Ø	NP-abs obj.V	NA	NA	Ø	V.obj	NP-abs & obj.V	NA	NA	V.obj	NA	Ø	NP-acc	Ø	jiʔį̀+NP
TOUCH	toucher	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-erg & V.subj	NA	NA	V.sbj	NA	Ø	Ø	Ø	Ø
TOUCH	touching instrument	instr	NP-perl	bi+NP-gen	aji+NP	NA	NP-instr	NA	NA	NP-instr	NA	NA	con+NP	NA	NA	NA	NA	NP+la	NP+mew	NP-abl	NA	NA	NA	NA	NA	NA	fi+NP	lóʔò+NP
WANT	wanted thing	obj.V	NA	NP-acc	NA	NA	NA	NA	NA	NA	und.V	NA	Ø	Ø	NP-abs obj.V	NA	NA	NP+la	V.obj	NA	Ø	NA	V.obj	NP-acc	Ø	NP-acc	Ø	jiʔį̀+NP
WANT	wanter	subj.V	NA	V.subj NP-nom	NA	NA	NA	NA	NA	NA	act.V	NA	V.subj	Ø	NP-erg subj.V	NA	NA	Ø	V.subj	NP-abs & obj.V	Ø	NA	V.sbj	NP-dat	Ø	Ø	Ø	Ø
WASH	washed entity	obj.V	NP-abs V.obj	NP-acc	Ø	NP-abs & absAgr.V	NP-acc	NA	NA	NP-acc	und.V	NP-dat	Ø	Ø	NA	NA	NA	Ø	V.obj	NP-abs & obj.V	Ø	NA	V.obj	NP-acc	Ø	NP-acc	Ø	NA
WASH	washer	subj.V	NP-rel V.subj	V.subj NP-nom	Ø	NP-erg	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NP-nom & V.subj	V.subj	Ø	NA	NA	NA	Ø	V.subj	NP-erg & V.subj	Ø	NA	V.sbj	Ø	Ø	Ø	Ø	NA
WIPE	wiped material	obj.V	NA	NP-acc	NA	NA	NP-acc	NA	NA	NP-acc	NA	NA	da+NP	Ø	NP-abs obj.V	NA	Ø	NA	V.obj	NP-abs & obj.V	NA	NA	V.obj	NP-acc	Ø	NA	Ø	NA
WIPE	wiper	subj.V	NP-rel V.subj	V.subj NP-nom	NA	NA	Ø (NP-nom)	NA	NA	NP-nom V.subj	act.V	NA	V.subj	Ø	NP-erg subj.V	NA	Ø	Ø	V.subj	NP-erg & V.subj	NA	NA	V.sbj	Ø	Ø	Ø	Ø	NA
WIPE	wiping surface	obj.V	NP-abs V.obj	ʿan+NP-gen	NA	NA	NP-abl	NA	NA	NP-abl	und.V	NA	Ø	NA	NA	NA	NA	Ø	NA	NA	NA	NA	NA	NP-abl	kè+NP	NP-acc	NA	NA
